Time	Magnitude	Latitude	Longitude	Depth	ClosestLakeID	ClosestLakeDist_km
1994.428108	6.78	2.889	-75.949	10	3064	61.5616197754641
1994.437031	5.55	38.765	70.575	11.5	9920011	44.6207435452132
1994.439159	5.75	27.929	140.911	27.2	1019	903.643268602949
1994.447325	6.17	-5.497	151.87	21.3	5747	657.28521478746
1994.45898	6.71	-43.059	171.508	12.1	980	154.33850745249
1994.46511	5.88	29.048	52.672	10	1012	46.4941127416232
1994.472907	5.51	-64.505	175.651	10	525	2200.31492893897
1994.483706	6.11	-36.403	-98.097	15	214	2245.94158245749
1994.490803	5.87	32.52	93.655	10	897	211.708956108345
1994.504099	5.5	7.703	-82.271	21.4	16689	307.437843190998
1994.504861	6.43	14.929	-97.339	15	375	379.156676763557
1994.506292	5.83	10.56	125.263	20	1188	126.17697671208
1994.517906	5.68	-37.415	-95.157	13.1	214	1961.77299245198
1994.525872	5.6	19.699	-70.972	18.7	519	152.381487559783
1994.555894	5.89	-15.729	-173.059	27.1	290	2782.26836063179
1994.558191	5.55	-17.895	-173.002	22.6	290	2560.56372481165
1994.569022	5.8	-47.312	100.046	15	1390	2378.69665551827
1994.570876	5.79	52.262	-168.298	15	927	932.594838730188
1994.576918	5.54	32.574	48.398	22.8	2969	9.26496863815743
1994.592254	6.17	-55.428	-127.876	10	880	3594.9474299736
1994.592831	5.58	-16.929	-177.187	25	290	2522.72497293429
1994.603648	5.52	10.65	94.38	25.8	1042	504.875264057152
1994.614736	5.95	44.604	150.059	25	640	1067.9308241604
1994.621282	5.73	37.891	142.506	29.5	1588	217.259134202157
1994.625686	5.9	-7.477	31.66	26.7	25	80.3891018559576
1994.625738	5.83	35.544	-0.132	10	7308	423.267516505067
1994.630738	5.73	17.999	96.379	10.2	1963	61.1545693002856
1994.63563	6	56.729	118.171	10.3	1438	363.878183942084
1994.657724	5.74	-0.248	-19.206	10	9910492	1175.05539901734
1994.659621	5.72	-15.035	-173.273	10	290	2846.73336079671
1994.66567	7	40.308	-125.72	8.4	4206	264.284139170172
1994.665778	5.9	41.177	21.224	15	677	34.2414230407236
1994.666307	5.53	-18.373	-172.899	16.7	290	2515.82269357303
1994.670437	5.72	-31.496	-111.219	10	214	3571.96970319882
1994.677416	5.6	46.87	155.186	17.2	705	949.807842234611
1994.679043	5.55	-34.074	179.608	16.4	290	621.171028114078
1994.692679	5.65	-16.019	166.762	20	1782	1927.7026622497
1994.695358	5.64	-8.925	106.42	20	5071	244.150755590752
1994.695459	5.89	38.838	-119.725	12	365	39.1674741173112
1994.696638	5.94	-15.365	-173.029	12.8	290	2821.29321184842
1994.697927	6.03	7.081	-76.648	14.4	9920018	105.407467358306
1994.704973	5.97	-57.925	-8.877	10	304	3532.46447895882
1994.70572	6.67	22.505	118.768	12.1	9920016	327.636125127165
1994.709146	5.67	-32.279	-71.767	20	15203	255.250264449464
1994.725073	6.03	-3.199	148.732	20	844	634.66484380886
1994.737746	6.15	5.671	-79.058	15	760	385.042484750225
1994.738493	5.78	51.274	178.435	20	705	1274.49842651641
1994.747782	5.67	-17.918	167.889	28.3	1782	1885.34846921683
1994.767709	6.76	-1.237	127.917	13.3	314	732.391401293496
1994.776871	5.91	13.832	124.561	25.2	217	372.152960745502
1994.784469	6.08	-3.742	152.21	12.9	5747	826.032169987542
1994.819275	6.3	43.563	-127.475	15.8	629	473.726891769926
1994.821035	5.9	14.681	-103.638	15	634	475.746423559485
1994.821986	5.68	34.973	142.035	16.1	1019	191.793075619875
1994.831866	5.68	-1.108	67.687	15.9	3551	1591.91911763867
1994.842148	6.31	-57.209	158.112	15	525	1489.45933542305
1994.843129	5.62	10.677	141.533	20	1215	1451.25798511607
1994.868727	7.08	13.49	120.985	28.1	755	50.6846999704195
1994.871625	5.98	47.456	154.843	12.1	705	898.501648684039
1994.872793	5.81	-56.394	-142.435	10	2247	3524.36206858552
1994.883294	5.58	-9.729	159.652	27.3	5747	1334.58311480547
1994.884895	6.31	-2.087	135.85	16.3	1220	206.391293062468
1994.886639	5.92	25.592	96.581	15	8315	213.130105377884
1994.891849	5.5	-52.876	160.091	11	525	1016.69992930154
1994.946885	5.51	16.249	-98.555	17.9	4328	237.406818899081
1994.949519	6.1	-9.531	159.451	16.1	5747	1312.69291771688
1994.952697	6.28	-37.603	177.288	20	290	180.048787818715
1994.95929	5.74	-27.788	-176.37	20	290	1418.18733551441
1994.963423	5.71	-54.176	143.404	10	758	1264.14102048865
1994.988401	7.73	40.477	143.397	24.8	1588	439.106442746098
1994.993968	5.83	-47.277	100.286	10	1390	2364.06692270218
1995.00527	5.86	-57.655	-66.029	17.1	304	356.985557254566
1995.006899	5.95	-55.894	-123.379	15	880	3308.87100266464
1995.011579	5.7	-22.033	169.132	28.7	1782	1772.73997386295
1995.021898	5.55	1.464	-90.46	10	1860	1178.78751122031
1995.023747	5.5	20.425	109.356	9.6	1608	122.246815169535
1995.041096	6.3	51.262	179.207	20	705	1323.79650436466
1995.041385	6.86	34.59	135.069	17.6	267	117.302863490168
1995.048949	6.51	5.1	-72.895	15	14366	81.5822658456842
1995.050071	5.8	-10.928	162.151	23.8	5747	1613.11245262533
1995.069258	5.5	14.371	-92.894	25.3	1329	185.900043409407
1995.071444	6.77	-4.514	134.513	26.9	1220	211.344589355079
1995.084468	5.5	-42.237	-18.485	10	6767	3198.26596306796
1995.087029	5.79	10.65	-42.628	10	575	1313.3711156918
1995.088584	6.42	-62.74	156.14	15	525	2083.67891300485
1995.096124	5.96	6.737	-82.664	12.4	16689	406.992810288897
1995.107521	5.54	-29.711	-112.044	10	214	3738.50822952519
1995.112795	5.66	12.61	-81.518	15	9910462	394.316273784111
1995.113054	5.55	-5.75	-76.099	20.3	929	585.548408030295
1995.116665	5.92	-1.412	127.487	24.9	314	681.342042645629
1995.137824	6.2	45.976	151.566	29.3	640	1039.63525907635
1995.145454	5.88	35.05	32.388	22.5	3007	175.431491147821
1995.149231	5.55	-26.885	-112.689	11.2	214	3960.00889443606
1995.159161	6.01	6.79	-82.426	15.1	16689	383.685008739941
1995.167375	5.89	-14.518	-175.545	23.1	290	2827.00156843171
1995.175306	6.05	2.639	118.26	16.8	2063	376.9058308758
1995.179075	6.14	16.476	-59.621	19.4	3824	1088.15259314179
1995.193535	5.8	-2.791	134.28	10	1220	256.217183964174
1995.210879	6.1	-4.332	134.987	18.6	1220	155.070301402704
1995.213505	5.56	-54.918	-118.84	15	880	3051.31254383514
1995.219559	5.73	-21.266	169.012	25	1782	1795.90459725801
1995.237812	5.5	-42.446	-100.785	10	883	2192.92071678939
1995.251294	5.84	0.597	-26.157	15	1560	1380.3061222844
1995.253385	5.77	33.587	-38.659	15	762	2158.88662221079
1995.266114	5.62	3.278	127.162	27.1	502	604.200080035721
1995.277694	5.53	-0.566	124.317	14.4	1035	393.295370896237
1995.27783	6.07	-22.253	170.601	11.5	1782	1904.33979371248
1995.280008	5.66	30.222	-103.394	17.5	1241	233.844283755246
1995.281457	6.25	-60.739	-20.102	15	304	2840.77371838213
1995.286949	5.57	-9.804	159.726	20.8	5747	1342.72813400746
1995.2883	5.91	-8.483	156.747	14.4	5747	1023.93345176898
1995.290836	6.72	45.863	151.181	25.5	640	1025.99117775098
1995.291333	6.05	-2.068	140.55	25.7	1215	294.276247108883
1995.292767	5.67	-54.324	-136.489	15	2247	3909.80733570574
1995.299116	5.98	12.009	125.692	27.4	1188	284.694468672384
1995.30492	6.47	51.323	179.758	18	705	1355.87189875024
1995.316991	6.17	1.316	-84.834	11.3	2037	621.714959676419
1995.324085	5.87	-16.745	177.105	20	290	2454.76716003324
1995.330573	5.51	43.843	84.708	23.4	4220	138.443021952283
1995.331951	6.17	-60.381	153.68	15	525	1924.05942526191
1995.338926	5.65	-10.039	118.82	20	3157	671.259643902712
1995.339281	5.58	-15.979	-172.741	15	290	2768.5308658761
1995.349817	5.84	-53.874	-134.165	10	880	4033.44080323836
1995.360345	6.53	40.12	21.666	15.2	2819	21.6854645614433
1995.363399	6.86	-8.363	124.997	12.9	314	726.586441705725
1995.369862	7.67	-23.043	169.93	23.6	1782	1809.84837151764
1995.370044	6.27	17.791	96.393	10	1963	67.2492695972371
1995.373045	6.78	-0.848	-22.014	19.1	9910492	1461.51491366243
1995.383167	5.62	-28.141	-176.332	19	290	1385.59082096189
1995.384445	6.07	-9.666	151.625	27.8	5747	454.802934684036
1995.387865	5.6	43.634	141.799	17.6	1588	699.642683195227
1995.389251	6.72	-55.85	-2.897	12	599	3581.14531798763
1995.395299	6.46	11.928	57.984	15	814	1766.90064601982
1995.399163	7.03	52.605	142.87	12.9	640	207.410141569591
1995.399748	5.68	23.03	121.466	28.8	4748	471.032467124225
1995.404004	6.29	-10.357	164.018	25.7	5747	1813.66551040257
1995.404187	5.67	10.137	-104.04	10	634	970.055526692326
1995.407819	5.58	-60.194	-31.332	10	304	2231.10393394219
1995.410205	5.54	30.223	68.062	22.1	4342	265.072420674905
1995.410466	6.3	18.906	-107.52	13.9	9920020	425.587902644177
1995.441242	5.63	32.583	69.839	27.8	4342	57.8394903655268
1995.448231	6.52	12.199	-88.376	25	2120	214.878330727298
1995.449722	6.46	38.408	22.278	15	2559	85.7240858610232
1995.451856	5.64	-60.289	-31.614	15	304	2215.60168966376
1995.458328	5.5	2.404	-95.579	10	1329	1449.51567600346
1995.459264	5.5	-17.787	-176.281	10.7	290	2455.93180449627
1995.467885	6.69	-61.719	154.804	10	525	2016.47744819758
1995.477319	6.21	-3.315	150.528	25	5747	765.504826492134
1995.48023	5.58	-55.42	-27.96	15	304	2496.98488133115
1995.482255	5.79	7.09	-34.461	15	15066	1431.24655551138
1995.483706	5.99	18.824	-81.667	15.8	2777	410.731418766584
1995.487708	5.82	-1.534	127.421	25	314	671.163756208396
1995.49065	5.75	51.899	103	17.7	66	196.907657067087
1995.492127	6.19	24.655	-110.308	15	1718	273.957692207033
1995.511142	5.65	-53.374	9.161	10	599	2853.51255144343
1995.513315	5.94	39.668	143.491	10	1588	382.87583193202
1995.513992	5.59	4.174	62.562	15	5480	1703.17101370017
1995.514631	5.95	53.637	-163.774	27.3	927	610.242152868055
1995.515381	5.72	-24.3	-176.136	20.7	290	1778.10568209319
1995.517742	5.86	21.971	99.114	10	711	147.638105712509
1995.525414	6.43	-23.128	170.916	15	290	1804.87935827902
1995.541706	5.83	-3.837	135.181	10	1220	125.524849820359
1995.54979	5.51	-1.367	137.954	28	1215	55.7753845572655
1995.550848	5.56	36.417	103.336	10	1451	67.8442666998366
1995.560943	5.63	10.722	-41.204	14.4	575	1456.17395077802
1995.56535	5.96	-12.556	79.235	18.3	2645	2208.50378285383
1995.569764	5.52	-29.984	-112.071	10	214	3725.35294591042
1995.591571	5.67	-16.449	178.168	28.1	290	2494.6963172676
1995.591912	5.51	-22.605	-10.652	10	38997	2699.4826635084
1995.595422	5.72	-59.865	-151.522	15	2247	3056.54539413698
1995.59705	6.14	4.012	143.832	16.2	844	922.964818841489
1995.610085	5.51	-3.483	149.086	16.6	844	668.403445167855
1995.619846	5.5	-29.303	-112.908	10	214	3833.55333945798
1995.620632	7.72	-5.786	154.181	25	5747	845.859494363014
1995.621832	5.71	28.368	128.203	19.5	9920032	732.349058911059
1995.622159	5.65	50.267	176.042	15	705	1178.85426267819
1995.640115	6.23	-56.787	-141.498	16	2247	3582.74396651088
1995.648505	5.66	8.436	127.02	27.8	1188	199.780352229259
1995.648789	5.7	-8.347	121.498	25	3157	501.115772010311
1995.653522	6.46	26.064	-110.295	10	6735	177.444038746817
1995.655879	6.4	-48.028	99.346	14.2	1390	2473.2941239131
1995.656041	6.07	-21.155	-174.32	19.3	290	2172.90748805466
1995.6604	5.73	-19.352	-173.569	15	290	2388.0511519288
1995.662466	6.42	-15.764	166.523	20	1782	1928.64588428777
1995.677899	5.54	-16.583	-172.514	15	290	2715.19095546129
1995.679536	5.79	14.9	-94.206	15	348	232.687281980727
1995.682462	5.87	-55.985	-122.316	15	880	3242.0261475716
1995.684242	5.55	-9.184	67.223	21.1	986	2221.64640365678
1995.691123	5.55	0.931	-101.581	10	4328	1902.62806948493
1995.700442	7.35	16.661	-98.706	22.5	4328	191.54474566829
1995.706916	5.57	-4.28	-104.177	10	4328	2517.37313167171
1995.707897	5.57	-35.523	-74.206	12.5	3744	266.218940912605
1995.709007	6.48	-17.197	66.693	15	986	1928.35356407341
1995.71794	5.55	35.686	-117.729	15	10176	192.192845159707
1995.725865	5.57	-24.346	-128.152	15	214	5403.24340255464
1995.730901	5.62	1.134	19.407	14.7	239	260.394770290885
1995.7472	6.39	38.009	30.14	15	2595	25.8639033326422
1995.750834	5.96	-14.873	-175.038	16.8	290	2804.32522595514
1995.752697	5.68	-30.762	-71.905	25	15203	356.4858137089
1995.759665	5.78	18.812	-104.556	20	182	226.535091681923
1995.759684	5.96	65.134	-148.444	10	1055	378.230094991052
1995.760521	5.87	34.12	139.175	15	1019	239.990910792097
1995.761141	6.72	-1.895	101.499	14.5	1510	177.992223356144
1995.765564	5.7	41.004	72.11	19	3651	87.1288432619379
1995.767094	5.67	-7.413	156.195	15	5747	986.051467851577
1995.768178	5.57	-55.934	-144.213	10	2247	3412.70880033065
1995.778199	5.92	-35.155	-106.287	10	214	2982.55935917595
1995.779988	6.09	-58.882	158.165	10	525	1650.94230869572
1995.78059	5.59	9.88	140.375	25	1215	1334.38691560471
1995.793135	7.11	28.059	130.208	26.4	9920032	931.72314770528
1995.802291	5.52	-4.976	153.301	15	5747	815.389974958256
1995.805146	5.68	-6.38	98.675	25	1308	606.923061808113
1995.808211	6.17	25.938	102.371	13.6	18104	120.459826121681
1995.813868	5.71	-17.078	174.066	15	290	2421.43814249419
1995.827108	5.81	51.675	-173.348	25	376	1128.97045249133
1995.827736	5.73	-28.922	-71.358	20	15203	496.192507022007
1995.834833	5.77	-9.769	159.807	15	5747	1351.58158648941
1995.844459	5.62	-55.317	-29.226	15	304	2422.24720086908
1995.850244	6.89	1.845	94.99	19.5	160	449.798520231889
1995.851246	5.95	1.241	121.618	28	482	368.555318199972
1995.86398	6.01	-14.991	-173.572	10	290	2840.5959262984
1995.864102	5.77	56.093	114.61	20.4	1438	141.930280039813
1995.874365	5.75	-44.873	-79.678	15	1408	615.117319052496
1995.887096	5.71	-33.194	-72.224	15	15203	285.817448703122
1995.888233	7.18	28.765	34.7	17.7	9900040	317.108609561747
1995.889284	5.78	3.13	95.969	28	160	344.842303559512
1995.893944	6.11	-42.987	171.84	15	980	179.341395733517
1995.895209	6.55	44.56	148.965	24.6	640	1018.75613308385
