Time	Magnitude	Latitude	Longitude	Depth
2006.738577	6.89	-16.658	-171.985	28
2006.742088	6.07	10.816	-61.653	54.5
2006.744785	5.53	7.273	-34.726	6
2006.760341	5.72	-41.168	80.449	15
2006.761627	5.74	-49.847	-114.628	10
2006.766808	5.76	-23.746	-175.436	15
2006.769111	6.29	20.7	120.104	17.5
2006.770058	5.75	-51.045	28.962	10
2006.771623	5.99	-56.047	-122.304	10
2006.773439	5.66	37.211	142.845	23.1
2006.774129	5.74	8.353	-103.11	10
2006.777866	5.76	24.11	122.662	46
2006.778245	6.36	-31.322	-71.421	45
2006.786348	6.71	19.887	-156.065	29
2006.7872	5.85	-50.76	162.417	10
2006.78731	5.5	-30.269	-71.402	39.5
2006.790032	6.7	-5.829	151.08	33.1
2006.795033	5.75	4.828	-82.712	20
2006.799317	6.7	-13.484	-76.573	24.4
2006.79974	5.82	13.389	121.599	20
2006.804577	6.06	-45.876	95.98	10
2006.806334	5.67	4.974	125.272	55
2006.808726	6.37	29.329	140.533	11
2006.849378	6.56	-6.523	151.25	20
2006.851808	5.62	47.063	154.077	25
2006.860047	5.95	-6.069	148.602	53.3
2006.863502	5.94	48.225	154.274	36
2006.870493	5.53	-25.157	-112.109	10
2006.87204	5.69	-62.881	-161.321	10
2006.8733	5.54	-52.071	139.777	10
2006.876803	6.17	28.575	130.042	25.9
2006.878633	5.54	11.101	-87.859	17.5
2006.880438	5.69	-55.641	-24.977	10
2006.882382	6.06	-4.637	-104.824	10
2006.884627	5.5	-17.721	-70.218	33.9
2006.886669	5.57	-6.312	154.809	40
2006.89618	5.6	-23.473	-175.585	20
2006.898035	5.54	53.668	-163.733	39
2006.907773	6.23	2.496	128.345	39
2006.909382	5.62	53.756	-35.516	10
2006.911654	5.99	-21.524	-174.411	15
2006.912769	6.23	-53.812	-134.106	10
2006.913032	5.63	-29.529	-112.196	10
2006.914674	6.34	-8.271	118.796	25
2006.919499	5.59	-0.434	-19.79	10
2006.919792	5.67	-50.708	162.706	10
2006.92093	5.98	14.013	-91.342	61
2006.925848	5.53	11.285	-86.585	32.8
2006.926334	5.75	-35.303	-104.632	10
2006.92912	5.74	-53.956	159.204	10
2006.930251	5.67	-8.881	126.747	25
2006.939479	5.74	29.778	130.631	35
2006.94583	5.5	-41.284	-86.022	10
2006.954136	5.75	-35.241	-105.959	10
2006.958345	5.83	-21.34	-174.462	15
2006.967822	5.58	13.328	125.915	15
2006.972832	6.18	10.58	92.389	25.4
2006.976629	5.71	-4.654	153.146	62
2006.978058	5.72	-2.163	139.004	30.9
2006.981065	5.84	42.153	76.05	10
2006.982939	6.99	21.823	120.609	10
